CCCC,Location,Country Name
ABCS,Cairns,Australia
ABRF,Brisbane (Regional Forecasting Centre),Australia
ABRK,Rockhampton,Australia
ABTD,Thursday I.,Australia
ABTL,Townsville,Australia
ABWP,Weipa,Australia
ACCC,Cocos Island,Cocos Island
ADDN,Darwin,Australia
ADRM,Darwin/Regional Met. Centre,Australia
AGGG,Honiara (COM Centre), Guadalcanal I.,Solomon Islands
AMMC,Melbourne/World Met. Centre,Australia
AMML,Melbourne/Intl.,Australia
AMRF,Melbourne (Regional Forecasting Centre),Australia
ANAU,Nauru Is.,Nauru
ANYN,NAURU AIRPORT,Nauru
APRF,Perth (Regional Forecasting Centre),Australia
APRM,Adelaide (Regional Forecasting Centre),Australia
ASRF,Sydney (Regional Forecasting Centre),Australia
ASRI,Richmond(RAAF),Australia
AYPY,Port Moresby,Papua New Guinea
BABJ,Peking (Beijing),China
BGAM,Angmagssalik,Greenland
BGSF,Søndre Strømfjord,Greenland
BGTL,Thule AB,Greenland
BICC,Reykjavik (Gufunes COM Centre),Iceland
BIEG,Egilsstadir,Iceland
BIKF,Keflavík,Iceland
BIRK,Reykjavík Airport,Iceland
BOCW,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOIA,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOID,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOIJ,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOIP,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOIT,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOKE,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOLP,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOLU,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOLV,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOLW,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOOA,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOOG,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOOM,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOOU,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOOZ,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOTO,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOTT,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOTZ,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOVB,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOZD,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOZX,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPGB,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPGV,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPJB,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPJK,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPKX,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPLI,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPLJ,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPLQ,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPPS,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPRG,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BRIK,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BROE,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BRSI,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BRSP,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BRVG,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BSQK,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BSQP,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BSQU,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BTBH,--,Bhutan
CFSP,--,Canada
CWAH,--,Canada
CWAO,Montreal (Canadian Met. Centre), Que.,Canada
CWBA,--,Canada
CWCI,--,Canada
CWCL,--,Canada
CWCP,--,Canada
CWCU,--,Canada
CWDL,--,Canada
CWDV,--,Canada
CWEB,--,Canada
CWEG,Edmonton, Alta. (Alberta/Arctic Weather Centres),Canada
CWEP,--,Canada
CWES,--,Canada
CWEZ,--,Canada
CWGB,--,Canada
CWGD,--,Canada
CWGQ,--,Canada
CWGR,--,Canada
CWHF,Halifax Dockyard, N.S.,Canada
CWHR,--,Canada
CWHX,Bedford (Atlantic Weather Centre), N.S.,Canada
CWIS,Ottawa (AES Ice Forecasting Centre), Ont.,Canada
CWJC,--,Canada
CWKG,--,Canada
CWKY,--,Canada
CWLA,--,Canada
CWLY,--,Canada
CWMI,--,Canada
CWMN,--,Canada
CWMS,--,Canada
CWNC,--,Canada
CWNT,Turtle Mountain,Canada
CWNZ,--,Canada
CWOW,Ottawa, Ont.,Canada
CWPF,Esquimalt (Maritime HQ CFB Dockyard), B.C.,Canada
CWPK,--,Canada
CWPL,--,Canada
CWPN,--,Canada
CWPZ,--,Canada
CWQC,--,Canada
CWQP,--,Canada
CWQS,--,Canada
CWRA,--,Canada
CWRD,--,Canada
CWRJ,--,Canada
CWSA,--,Canada
CWSS,--,Canada
CWTO,Toronto, Ont. (Atmospheric Environment Service HQ.),Canada
CWTQ,--,Canada
CWTZ,--,Canada
CWUL,Montreal (Quebec Forecast Office), Que.,Canada
CWVR,Vancouver (Pacific Weather Centre), B.C.,Canada
CWWE,--,Canada
CWWZ,--,Canada
CWYG,--,Canada
CWYI,--,Canada
CWZC,--,Canada
CYAW,Halifax/Shearwater, NS (Heli),Canada
CYBC,Baie-Comeau, QC,Canada
CYBE,Uranium City, SK,Canada
CYBG,Bagotville, Que.,Canada
CYBR,Brandon Muni, MB,Canada
CYCH,Miramichi, NB,Canada
CYCT,Coronation, AB,Canada
CYDA,Dawson City, YT,Canada
CYDB,Burwash, YT,Canada
CYDN,Dauphin (Lt Col W G (Billy) Barker VC ARPT); MB,Canada
CYED,Edmonton/Namao, AB (Heli),Canada
CYEG,Edmonton/Intl. Airport, Alta.,Canada
CYEN,Estevan Regional, SK,Canada
CYET,Edson, AB,Canada
CYEV,Inuvik (Mike Zubko) NT,Canada
CYFB,Frobisher Bay, N.W.T.,Canada
CYFC,Fredericton Intl, NB,Canada
CYFS,Fort Simpson, NT,Canada
CYGL,La Grande Rivière, Que.,Canada
CYGP,Gaspe (Michel-Poulot), QC,Canada
CYHB,Hudson Bay, SK,Canada
CYHE,Hope, BC,Canada
CYHZ,Halifax/Intl., N.S.,Canada
CYJT,Stephenville, Nfld.,Canada
CYKA,Kamloops, BC,Canada
CYKL,Schefferville, QC,Canada
CYMJ,Moose Jaw/Air Vice Marshall CM McEwen, SK,Canada
CYMM,Fort McMurray, AB,Canada
CYMT,Chibougamou/Chapais, QC,Canada
CYMX,Montreal Intl. (Mirabel), Que.,Canada
CYNM,Matagami, QC,Canada
CYOD,Cold Lake/Group Captain RW McNair, AB,Canada
CYOJ,High Level AB,Canada
CYOW,Ottawa/Intl., Ont.,Canada
CYPA,Prince Albert (Glass Field), SK,Canada
CYPG,Portage La Prairie/Southport, MB,Canada
CYPR,Prince Rupert, BC,Canada
CYQA,Musikoka, ON,Canada
CYQB,Quebec/Jean Lesage Intl., Que.,Canada
CYQD,The Pas, MB,Canada
CYQG,Windsor, Ont.,Canada
CYQH,Watson Lake, YT,Canada
CYQI,Yarmouth, BC,Canada
CYQL,Lethbridge County, AB,Canada
CYQM,Moncton/Greater Moncon Intl,Canada
CYQQ,Comox, B.C.,Canada
CYQR,Regina Intl, SK,Canada
CYQT,Thunder Bay, ON,Canada
CYQU,Grande Prairie, AB,Canada
CYQW,North Battleford (Cameron McIntosh), SK,Canada
CYQX,Gander/Intl., Nfld.,Canada
CYQY,Sydney, N.S.,Canada
CYRB,Resolute, N.W.T.,Canada
CYRJ,Roberval, QC,Canada
CYRL,Red Lake, ON,Canada
CYRM,Rocky Mountain House, AB,Canada
CYRV,Revelstoke, BC,Canada
CYSB,Sudbury, ON,Canada
CYSC,Sherbrooke, QC,Canada
CYSE,Squamish, BC,Canada
CYSJ,Saint John, NB,Canada
CYSU,Summerside, PE,Canada
CYTR,Trenton, Ont.,Canada
CYTS,Timmins/Victor M Power, ON,Canada
CYUL,Montreal/Intl., Que.,Canada
CYVC,La Ronge (Barber Field), SK,Canada
CYVG,Vermillion, AB,Canada
CYVO,Val d'Or, QC,Canada
CYVP,Kuujjuaq, QC,Canada
CYVQ,Norman Wells, NT,Canada
CYVR,Vancouver/Intl., Man.,Canada
CYVV,Wiarton, ON,Canada
CYWA,Petawawa, ON,Canada
CYWG,Winnipeg/Intl., Man.,Canada
CYWL,Williams Lake, BC,Canada
CYXC,Cranbrook/Canadian Rockies Intl, BC,Canada
CYXD,Edmonton City Centre (Blatchford Field), AB,Canada
CYXE,Saskatoon/John G. Diefenbaker, Sask.,Canada
CYXJ,Fort St John, BC,Canada
CYXR,Earlton (Timiskaming Regional), ON,Canada
CYXS,Prince George, BC,Canada
CYXU,London, Ont.,Canada
CYXX,Abbotsford, B.C.,Canada
CYXY,Whitehorse/Erik Nielsen Intl, YT,Canada
CYXZ,Wawa, ON,Canada
CYYB,Northern Bay, ON,Canada
CYYC,Calgary, Alta.,Canada
CYYD,Smithers, BC,Canada
CYYE,Fort Nelson, BC,Canada
CYYF,Penticton, BC,Canada
CYYJ,Victoria Intl., B.C.,Canada
CYYN,Swift Current, SK,Canada
CYYQ,Churchill, Man.,Canada
CYYR,Goose, Nfld.,Canada
CYYT,St. John's, Nfld.,Canada
CYYU,Kapuskasing, ON,Canada
CYYW,Armstrong, ON,Canada
CYYY,Mont-Joli, QC,Canada
CYYZ,Toronto/Intl., Ont.,Canada
CYZE,Gore bay-Manitoulin, ON,Canada
CYZF,Yellowknife, N.W.T.,Canada
CYZP,Sandspit, BC,Canada
CYZT,Port Hardy, BC,Canada
CYZV,Sept-Iles (Seven Islands), Que.,Canada
CYZW,Teslin, YT,Canada
CYZX,Greenwood, N.S.,Canada
CYZY,Mackenzie, BC,Canada
DAAD,Bou Saada,Algeria
DAAE,Bejaia/Soummam,Algeria
DAAG,Alger/Houari Boumediene,Algeria
DAAJ,Djanet,Algeria
DAAP,Illizi,Algeria
DAAS,Sétif/Ain-Arnat,Algeria
DAAT,Tamanrasset,Algeria
DAAY,Mecheria,Algeria
DABB,Annaba/El Mellah,Algeria
DABC,Constantine/Ain El Bey,Algeria
DABP,Skikda,Algeria
DABS,Tebessa,Algeria
DABT,Batna,Algeria
DAMM,Alger (Centre régional des télécommunications météorologiques),Algeria
DAOB,Tiaret,Algeria
DAOF,Tindouf,Algeria
DAOI,Ech-Cheliff,Algeria
DAOL,Oran/Tafaroui,Algeria
DAON,Tlemcen/Zénata,Algeria
DAOO,Oran/Es Senia,Algeria
DAOR,Bechar/Ouakda,Algeria
DAOV,Ghriss,Algeria
DATG,In Guezzam,Algeria
DATM,Bordj Mokhtar,Algeria
DAUA,Adrar/Touat,Algeria
DAUB,Biskra,Algeria
DAUE,El Golea,Algeria
DAUG,Ghardaia/Noumerate,Algeria
DAUH,Hassi Messaoud/Oued Irara,Algeria
DAUI,In Salah,Algeria
DAUK,Touggourt/Sidi Mahdi,Algeria
DAUL,Laghouat,Algeria
DAUO,El Oued/Guemar,Algeria
DAUT,Timimoun,Algeria
DAUU,Ouargla,Algeria
DAUZ,Zarzaitine/In Aménas,Algeria
DBBB,Cotonou/Cadjehoun,Benin
DEMS,New Delhi,India
DFFD,Ouagadougou Airport,Burkina Faso
DGAA,Accra/Kotoka Intl.,Ghana
DHHH,Ouagadougou (AD),Burkina Faso
DHHV,Ouagadougou (Ville),Burkina Faso
DIAP,Abidjan/Port Bouet,Cote d'Ivoire
DIBK,Bouake,Cote d'Ivoire
DKPY,Pyongyang,Democratic People's Republic of Korea
DNAA,Abuja/N Namdi Azikiwe,Nigeria
DNKK,Kano,Nigeria
DNKN,Kano Mallam Aminu Kano,Nigeria
DNMM,Lagos/Murtala Muhammed,Nigeria
DRRN,Niamey (Airport),Niger
DTTA,Tunis/Carthage,Tunisia
DTTB,Bizerte/Sidi Ahmed,Tunisia
DTTD,Remada,Tunisia
DTTF,Gafsa,Tunisia
DTTG,Gabès,Tunisia
DTTJ,Jerba/Zarzis,Tunisia
DTTK,Kairouan,Tunisia
DTTL,Kélibia,Tunisia
DTTM,Monastir/Skanès,Tunisia
DTTN,Jendouba,Tunisia
DTTX,Sfax/El Maou,Tunisia
DTTZ,Tozeur,Tunisia
DXXX,Lomé,Togo
EBBR,Bruxelles/National,Belgium
EBSH,Saint Hubert,Belgium
EBST,Sint-Truiden,Belgium
EBSZ,Semmerzake (Mil.),Belgium
EBUM,Brussels (IRM),Belgium
EBWM,BEAUVECHAIN (MET MIL),Belgium
ECED,ECMWF,United Kingdom of Great Britain and Northern Ireland
ECEM,European Centre for Medium Range Weather Forecasts,United Kingdom of Great Britain and Northern Ireland
ECEP,European Centre for Medium Range Weather Forecasts,European Centre for Medium Range Weather Forecasts
ECMF,European Centre for Medium Range Weather Forecasts,European Centre for Medium Range Weather Forecasts
ECMG,European Centre for Medium Range Weather Forecasts,European Centre for Medium Range Weather Forecasts
ECMW,European Centre for Medium Range Weather Forecasts,European Centre for Medium Range Weather Forecasts
ECSF,European Centre for Medium Range Weather Forecasts,European Centre for Medium Range Weather Forecasts
EDAC,Altenburg-Nobitz,Germany
EDAH,Heringsdorf,Germany
EDBB,Berlin/Tempelhof,Germany
EDBM,Magdeburg,Germany
EDDB,Berlin-Schonefeld,Germany
EDDC,Dresden,Germany
EDDE,Erfurt,Germany
EDDF,Frankfurt Main,Germany
EDDG,Munster/osnabruck,Germany
EDDH,Hamburg,Germany
EDDI,Berlin-Tempelhof,Germany
EDDK,Köln-Bonn,Germany
EDDL,Düsseldorf,Germany
EDDM,München,Germany
EDDN,Nürnberg,Germany
EDDP,Leipzig/Halle,Germany
EDDR,Saarbrucken,Germany
EDDS,Stuttgart,Germany
EDDT,Berlin-Tegel,Germany
EDDV,Hannover,Germany
EDDW,Bremen,Germany
EDFF,Frankfurt/Main/ ACC/FIC,Germany
EDFH,Hahn,Germany
EDHI,Hamburg-Finkenwerder,Germany
EDHK,Kiel-Holtenau,Germany
EDHL,Lubeck-Blankensee,Germany
EDLL,Dusseldorf ACC/FIC,Germany
EDLN,Monchengladbach,Germany
EDLP,Paderborn-Lippstadt,Germany
EDLR,Paderborn-Haxterberg,Germany
EDLW,Dortmund-Wickede,Germany
EDMA,Augsburg,Germany
EDMM,Munchen ACC/FIC,Germany
EDMO,Oberfaffenhofen,Germany
EDNY,Friedrichshafen,Germany
EDOP,Schwerin-Parchim,Germany
EDQD,Bayreuth,Germany
EDQM,Hof,Germany
EDSB,Karlsruhe/Baden-Baden,Germany
EDTL,Lahr,Germany
EDVE,Braunschweig Lba,Germany
EDVK,Kassel-Calden,Germany
EDWW,Bremen ACC/FIC,Germany
EDXW,Westerland/Sylt,Germany
EDZB,Berlin Met Reg Center,Germany
EDZE,Essen Met Reg Center,Germany
EDZF,Frankfurt /Main Met Reg Center,Germany
EDZH,Hamburg Met Reg Center,Germany
EDZL,Leipzig met Reg Center,Germany
EDZM,Munchen Met Reg Center,Germany
EDZO,Offenbach,Germany
EDZW,Offenbach (Met. COM Centre),Germany
EEKE,Kuressaare,Estonia
EEMH,Meteorological and Hydrological Institute,Estonia
EETN,Tallinn Airport,Estonia
EETU,Tartu/Ulenurme,Estonia
EFET,Enontekio,Finland
EFHA,Halli,Finland
EFHF,Helsinki-Malmi,Finland
EFHK,Helsinki,Finland
EFIV,Ivalo,Finland
EFJO,Joensuu,Finland
EFJY,Jyvaskyla,Finland
EFKA,Kauhava,Finland
EFKE,Kemi-Tornio,Finland
EFKI,Kajaani,Finland
EFKK,Kruunupyy,Finland
EFKL,Helsinki (MET Institute),Finland
EFKS,Kuusamo,Finland
EFKT,Kittila,Finland
EFKU,Kuopio,Finland
EFLP,Lapeenranta,Finland
EFMA,Mariehamn,Finland
EFMI,Mikkeli,Finland
EFOU,Oulu,Finland
EFPO,Pori,Finland
EFRO,Rovaniemi,Finland
EFSA,Savonlinna,Finland
EFSI,Seinajoki,Finland
EFSO,Sodankyla,Finland
EFTP,Tampere-Pirkkala,Finland
EFTU,Turku,Finland
EFUT,Utti,Finland
EFVA,Vaasa,Finland
EFVR,Varkaus,Finland
EGCC,Manchester,United Kingdom of Great Britain and Northern Ireland
EGGY,UK MOTNE CENTRE,United Kingdom of Great Britain and Northern Ireland
EGKK,London/Gatwick,United Kingdom of Great Britain and Northern Ireland
EGLL,London/Heathrow,United Kingdom of Great Britain and Northern Ireland
EGNN,Preston (ATCC-Civil),United Kingdom of Great Britain and Northern Ireland
EGPK,Prestwick Airport,United Kingdom of Great Britain and Northern Ireland
EGPX,Prestwick (Scottish ATCC-Civil, and Oceanic ATC),United Kingdom of Great Britain and Northern Ireland
EGRR,Bracknell,United Kingdom of Great Britain and Northern Ireland
EGTX,London ATCC (COM, MET),United Kingdom of Great Britain and Northern Ireland
EHAM,Amsterdam/Schiphol,Netherlands
EHDB,De Bilt,Netherlands
EIDB,Dublin (MET, COM Centre),Ireland
EIDW,Dublin,Ireland
EJRC,Joint Research Centre (Ispra),Italy
EKAH,Tirstrup,Denmark and Faroe Islands
EKBI,Billund,Denmark and Faroe Islands
EKCH,København/Kastrup (Copenhagen-Copenhague),Denmark and Faroe Islands
EKEB,Esbjerg,Denmark and Faroe Islands
EKGF,Tyra Oest,Denmark and Faroe Islands
EKKA,Karup,Denmark and Faroe Islands
EKMB,Maribo,Denmark and Faroe Islands
EKMI,Danish Meteorological Institute,Denmark and Faroe Islands
EKMK,Karup (Mil MET Centre),Denmark and Faroe Islands
EKOD,Odense,Denmark and Faroe Islands
EKRK,København/Roskilde,Denmark and Faroe Islands
EKRN,Rønne,Denmark and Faroe Islands
EKSB,Sønderborg,Denmark and Faroe Islands
EKSN,Sindal,Denmark and Faroe Islands
EKSP,Skrydstrup,Denmark and Faroe Islands
EKSV,Skive,Denmark and Faroe Islands
EKTS,Thisted,Denmark and Faroe Islands
EKVA,Vandel,Denmark and Faroe Islands
EKVD,Kolding/Vamdrup,Denmark and Faroe Islands
EKVG,Vagar, Faroe Is.,Denmark and Faroe Islands
EKVJ,Stauning,Denmark and Faroe Islands
EKVL,Vaerløse,Denmark and Faroe Islands
EKYT,Ålborg,Denmark and Faroe Islands
ELLX,Luxembourg,Luxembourg
ENAL,Ålesund/Vigra,Norway
ENAN,Andøya,Norway
ENAT,Alta,Norway
ENBJ,Bjornoya,Norway
ENBL,Forde/Bringeland,Norway
ENBN,Brønnøysund/Brønnøy,Norway
ENBO,Bodø,Norway
ENBR,Bergen/Flesland,Norway
ENBS,Batsfjord,Norway
ENBV,Berlevåg,Norway
ENCN,Kristiansand/Kjevik,Norway
ENDI,Dagali,Norway
ENDU,Bardufoss,Norway
ENEK,Ekofisk,Norway
ENEV,Evenes,Norway
ENFB,Oslo/Fornebu,Norway
ENFD,Forde,Norway
ENFG,Fagernes/Leirin,Norway
ENFL,Floro,Norway
ENFR,Frigg,Norway
ENGC,Gullfax C,Norway
ENGM,Oslo/Gardermoen,Norway
ENHD,Haugesund/Karmoy,Norway
ENHF,Hammerfest,Norway
ENHK,Hasvik,Norway
ENHO,Hopen,Norway
ENHV,Honningsvag/Valan,Norway
ENKB,Kristiansund/Kvernberget,Norway
ENKR,Kirkenes/Høybuktmoen,Norway
ENLI,Lista,Norway
ENLK,Leknes,Norway
ENMH,Mehamn,Norway
ENMI,Oslo (Norwegian Meteorological Institute),Norway
ENML,Molde/Arø,Norway
ENMS,Mosjoen/Kjaerstad,Norway
ENNA,Banak,Norway
ENNK,Narvik/Framnes,Norway
ENNM,Namsos,Norway
ENNO,Notodden,Norway
ENOA,Oseberg A,Norway
ENOL,Ørland,Norway
ENOV,Orsta-Volda/Hovden,Norway
ENRA,Mo i Rana/Røssvoll,Norway
ENRM,Rorvik/Ryum,Norway
ENRO,Roros,Norway
ENRS,Rost,Norway
ENRY,Rygge,Norway
ENSB,Svalbard/Longyear,Norway
ENSD,Sandane/Anda,Norway
ENSF,Statfjord-A,Norway
ENSG,Sogndal/Haukasen,Norway
ENSH,Svolvaer/Helle,Norway
ENSK,Stokmarknes/Skagen,Norway
ENSN,Skien/Geiteryggen,Norway
ENSO,Stord,Norway
ENSR,Sorkjosen,Norway
ENSS,Svartnes,Norway
ENST,Sandnessjoen/Stokka,Norway
ENTC,Tromsø/Langnes,Norway
ENTO,Trop,Norway
ENVA,Trondheim/Vaernes,Norway
ENVD,Vadso,Norway
ENVV,Bergen (MET Forecasting Centre),Norway
ENZV,Stavanger/Sola,Norway
ESCF,Linlöping Malmen,Sweden
ESCM,Uppsala,Sweden
ESDB,Ängelholm,Sweden
ESDF,Ronneby,Sweden
ESGG,Göteborg/Landvetter,Sweden
ESGJ,Jönköping,Sweden
ESGP,Göteborg/Säve,Sweden
ESGR,Skövde,Sweden
ESGT,Trollhättan-Vänersborg,Sweden
ESIB,Såtenäs,Sweden
ESKM,Mora/Siljan,Sweden
ESKN,Stockholm/Skavsta,Sweden
ESMK,Kristianstad,Sweden
ESMQ,Kalmar,Sweden
ESMS,Malmö/Sturup,Sweden
ESMT,Halmstad,Sweden
ESMX,Växjö/Kronoberg,Sweden
ESNG,Gällivare,Sweden
ESNK,Kramfors-Sollefteå,Sweden
ESNL,Lycksele,Sweden
ESNN,Sundsvall-Härnösand,Sweden
ESNO,Örnsköldsvik,Sweden
ESNQ,Kiruna,Sweden
ESNS,Skellefteå,Sweden
ESNU,Umeå,Sweden
ESNY,Söderhamn,Sweden
ESOE,Örebro,Sweden
ESOK,Karlstad,Sweden
ESOW,Västeras/Hässlö,Sweden
ESPA,Luleå/Kallax,Sweden
ESPC,Östersund/Frösön,Sweden
ESPE,Vidsel,Sweden
ESSA,Stockholm/Arlanda,Sweden
ESSB,Stockholm/Bromma,Sweden
ESSD,Borlänge,Sweden
ESSF,Hultsfred-Vimmerby,Sweden
ESSK,Gävle-Sandviken,Sweden
ESSL,Linköping/Saab,Sweden
ESSP,Norrköping/Kungsängen,Sweden
ESSS,Stockholm/Arlanda (AFTN COM Centre),Sweden
ESSV,Visby,Sweden
ESTL,Ljungbyhed,Sweden
ESUD,Storuman,Sweden
ESUT,Hemavan,Sweden
ESWI,Norrköping (Swedish Meteorological and Hydrological Institute),Sweden
ETGT,Euskirchen Mil. Met Com Center,Germany
EUMC,--,EUMETSAT (Darmstadt)
EUMG,EUMETSAT (Darmstadt),EUMETSAT (Darmstadt)
EUMP,EUMETSAT (Darmstadt),EUMETSAT (Darmstadt)
EUMR,EUMETSAT (Darmstadt),EUMETSAT (Darmstadt)
EUMS,EUMETSAT (Darmstadt),EUMETSAT (Darmstadt)
EUMT,EUMETSAT (Darmstadt),EUMETSAT (Darmstadt)
EUSR,European Space Research Institute (Frascati),Italy
EVLA,Liepaja,Latvia
EVRA,Riga (Airport),Latvia
EVRR,Riga,Latvia
EYHM,Vilnius,Lithuania
EYKA,Kaunas Intl.,Lithuania
EYPA,Palanga Intl.,Lithuania
EYSA,Siauliai Intl,Lithuania
EYVI,Vilnius Intl.,Lithuania
FABL,Bloemfontein/J.B.M. Hertzog,South Africa (Gough & Marion Islands)
FACT,Cape Town (Kaapstad) D.F. Malan,South Africa (Gough & Marion Islands)
FADN,Durban/Louis Botha,South Africa (Gough & Marion Islands)
FAGE,Gough Island,South Africa (Gough & Marion Islands)
FAGG,George (George Airport),South Africa (Gough & Marion Islands)
FAJS,Johannesburg/Jan Smuts,South Africa (Gough & Marion Islands)
FAKM,Kimberley (Kimberley Airport),South Africa (Gough & Marion Islands)
FAME,Marion Island,South Africa (Gough & Marion Islands)
FAMM,Mmabatho (Mmabatho International Airport),South Africa (Gough & Marion Islands)
FAPE,Port Elizabeth/H.F. Verwoerd,South Africa (Gough & Marion Islands)
FAPR,Pretoria (MET),South Africa (Gough & Marion Islands)
FASE,S.A.N.A.E. Station (Antarctic/Antarctique),Operated by South Africa
FATC,Tristan de Cunha,South Africa (Gough & Marion Islands)
FAUP,Upington (Upington Airport),South Africa (Gough & Marion Islands)
